id,video_path,question,ground_truth,frames,center_frames
20,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0MFAM.mp4,Is the woman looking towards her right?,no,"[0171,0190,0002,0011,0214,0217,0218,0222,0231,0246]",0214
21,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0N7OQ.mp4,Are there two persons in the image?,no,"[0353,0243,0001,0014,0093,0025,0033,0061,0072,0081]",0093
22,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0NM06.mp4,Is the man sitting on the chair?,no,"[0100,0512,0587,0619,0622,0629,0637,0644,0652,0690]",0622
23,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0O022.mp4,Are there two persons in the image?,no,"[0000,0184,0282,0284,0282,0290,0287,0325,0335,0435]",0282
24,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0P7U1.mp4,Are there two laptops in the image?,no,"[0029,0093,0107,0129,0130,0135,0137,0145,0171,0236]",0130
25,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0RJKT.mp4,Is the person sitting?,no,"[0001,0298,0319,0330,0334,0341,0347,0360,0382,0451]",0334
26,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0RNG6.mp4,Is the person sitting?,no,"[0183,0201,0225,0227,0230,0237,0242,0258,0271,0334]",0230
27,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0RQZC.mp4,Is there a alive person in the image?,yes,"[0174,0004,0069,0326,0340,0500,0350,0363,0376,0494]",0340
28,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0SE6A.mp4,Is the person standing?,no,"[0003,0465,0507,0525,0616,0624,0632,0645,0671,0711]",0616
29,/home/leapers/data/VideoQA_datasets/star/Charades_v1/00T1E.mp4,Is the person on bed?,yes,"[0001,0109,0111,0116,0175,0223,0227,0232,0245,0266]",0175
0,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LIQS5.mp4,Is the full face visible?,yes 
1,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LJ3AI.mp4,Are there two persons in the image?,no,"[0134,0000,0131,0029,0031,0039,0106,0214,0296,0281]",0031
2,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LKH9A.mp4,Is the person sitting?,no,"[0856,0006,0435,0424,0416,0824,0404,0478,0558,0599]",0416
3,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LKQQO.mp4,Is the woman sitting?,yes,"[0106,0134,0349,0357,0359,0363,0367,0372,0386,0403]",0359
4,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LLOGB.mp4,Is the man sleeping?,yes,"[0000,0048,0049,0050,0053,0055,0057,0066,0071,0086]",0053
5,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LM4GS.mp4,Is the man face visible?,no,"[0428,0434,0489,0517,0585,0592,0598,0610,0622,0636]",0585
6,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LOP4H.mp4,Is the woman standing?,yes,"[0001,0087,0090,0095,0098,0106,0133,0143,0155,0168]",0098
7,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LP47Z.mp4,Is the woman on the bed?,yes,"[0031,0100,0106,0121,0127,0136,0139,0149,0162,0176]",0127
8,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LPJWM.mp4,Is the woman looking down?,yes,"[0000,0083,0115,0136,0137,0138,0139,0141,0146,0150]",0137
9,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LPT4A.mp4,Is the black woman in the left of the red woman?,yes,"[0000,0053,0179,0181,0186,0268,0269,0283,0309,0315]",0186
10,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LQO5R.mp4,Is the person sitting?,no,"[0051,0061,0067,0087,0097,0109,0114,0121,0126,0133]",0097
11,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/LR9KL.mp4,Are there two persons in the image?,no,"[0207,0764,0773,0780,0787,0790,0797,0805,0819,0854]",0787
12,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/MB1MR.mp4,Is the person sleeping?,yes,"[0018,0324,0336,0370,0344,0343,0349,0353,0397,0408]",0344
13,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/MBGPJ.mp4,Is the man standing?,no,"[0001,0054,0079,0145,0356,0386,0405,0418,0451,0479]",0356
14,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/MTUR3.mp4,Are there two persons in the image?,yes,"[0002,0248,0251,0256,0258,0261,0263,0268,0276,0280]",0258
15,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/MXW4N.mp4,Is there a person visible in the mirror?,no,"[0001,0294,0331,0349,0198,0069,0082,0159,0099,0444]",0198
16,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/NBMH9.mp4,Is the person sitting?,yes,"[0284,0080,0074,0055,0080,0082,0087,0104,0093,0117]",0080
17,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/NBSPH.mp4,Are there two persons in the image?,yes,"[0111,0280,0358,0510,0517,0523,0529,0553,0588,0627]",0517
18,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/OKHVL.mp4,Is the man sitting on the chair?,no,"[0002,0114,0248,0397,0195,0094,0271,0137,0153,0352]",0195
19,/home/leapers/data/VideoQA_datasets/star/sample-data-Charades/OOCOF.mp4,Is the woman sitting,no,"[0001,0051,0053,0057,0058,0060,0065,0074,0082,0109]",0058
