Video path,Question,Frames,Center frame,GT
Videoframe_extract_unreviewed_2513208116.mp4,Are there 2 people in the frame,"[0136,0139,0145,0169,0170,0172,0175,0177,0180,0182]",[0170],NO
Videoframe_extract_unreviewed_2528769674.mp4,Is the child standing,"[0109,0118,0162,0169,0173,0175,0183,0190,0196,0199]",[0175],YES
Videoframe_extract_unreviewed_2547045867.mp4,Is the car parked straight,"[0222,0224,0227,0230,0234,0237,0243,0252,0259,0267]","[0237,0252]","NO,NO"
Videoframe_extract_unreviewed_2547885226.mp4,Is the toy facing up,"[0080,0083,0087,0090,0098,0101,0104,0106,0111,0115]",[0098],YES
Videoframe_extract_unreviewed_2567017373.mp4,Is the child exactly in front of the park table,"[0173,0181,0189,0197,0205,0210,0217,0225,0260,0270]",[0270],YES
Videoframe_extract_unreviewed_2573200479.mp4,Is the child ahead of the white bag,"[0000,0002,0006,0010,0014,0018,0022,0026,0030,0031]",[0006],NO
Videoframe_extract_unreviewed_2577914719.mp4,Is the child smiling,"[0021,0023,0026,0031,0050,0052,0054,0058,0061,0066]",[0054],YES
Videoframe_extract_unreviewed_2579822208.mp4,Is the dog in front of the woman,"[0720,0723,0725,0728,0731,0735,0738,0742,0747,0750]",[0735],No
Videoframe_extract_unreviewed_2582245375.mp4,Is the woman behind the man,"[0004,0006,0009,0017,0024,0031,0041,0049,0055,0064]",[0017],YES
Videoframe_extract_unreviewed_2583774454.mp4,Is the woman facing towards the camera,"[0406,0409,0413,0420,0423,0425,0429,0436,0444,0452]",[0423],no
Videoframe_extract_unreviewed_2589833495.mp4,Is the man singing in the mic,"[0285,0288,0291,0297,0305,0314,0330,0339,0346,0356]",[0330],No
Videoframe_extract_unreviewed_2641296813.mp4,Are there 2 rabbits in the frame,"[0062,0069,0077,0085,0093,0106,0177,0186,0202,0245]",[106],Yes
Videoframe_extract_unreviewed_2697261300.mp4,Are both looking towards single direction,"[0931,0959,0981,1176,1192,1196,1198,1232,1236,1240]",[1192],no
Videoframe_extract_unreviewed_2704413711.mp4,Is the dog on the right of the line,"[0100,0111,0120,0141,0155,0161,0164,0167,0170,0173]",[0161],YES
Videoframe_extract_unreviewed_2715559289.mp4,Are there 2 babies in the scene,"[0675,0682,0690,0699,0706,0718,0725,0735,0743,0751]",[0706],yes
Videoframe_extract_unreviewed_2718262890.mp4,Is the man looking towards the camera,"[0226,0232,0235,0241,0243,0248,0261,0267,0273,0280]",[0241],no
Videoframe_extract_unreviewed_2723196432.mp4,Is the bird sitting on the wood,"[0030,0032,0039,0044,0077,0080,0084,0087,0090,0095]",[0080],no
Videoframe_extract_unreviewed_2726497009.mp4,Is there a person in this scene,"[0165,0172,0181,0190,0196,0214,0221,0223,0227,0234]",[0223],yes
Videoframe_extract_unreviewed_2735742477.mp4,Has the girl thrown the ballon,"[0081,0083,0085,0088,0095,0097,0098,0100,0103,0106]",[0098],no
Videoframe_extract_unreviewed_2737632741.mp4,Is the boy on the left of the woman,"[0000,0014,0021,0028,0035,0042,0086,0093,0100,0133]",[0086],yes
Videoframe_extract_unreviewed_2739107862.mp4,Is the man looking at the woman,"[0269,0271,0274,0282,0284,0286,0290,0294,0297,0299]",[0286],no
Videoframe_extract_unreviewed_2740320945.mp4,Is the woman on the right of the man,"[0725,0769,0773,0779,0810,0832,0840,0845,0850,0855]",[0779],yes
Videoframe_extract_unreviewed_2758300055.mp4,Is the man between the babies,"[0029,0040,0050,0055,0060,0070,0072,0082,0092,0102]",[0050],no
Videoframe_extract_unreviewed_2764832695.mp4,Is the boy behind the ball,"[0016,0023,0035,0044,0057,0070,0163,0175,0189,0197]",[0070],yes
Videoframe_extract_unreviewed_2765617638.mp4,Is food in his mouth,"[0690,0694,0701,0705,0709,0716,0723,0730,0733,0736]",[0709],no
Videoframe_extract_unreviewed_2769996915.mp4,Are there 3 horses in the scene,"[0179,0192,0198,0201,0208,0214,0224,0230,0238,0243]",[0224],yes
Videoframe_extract_unreviewed_2770243170.mp4,Is the baby facing left,"[0788,0783,0795,0876,0904,0918,0928,0943,0958,0969]",[0904],no
Videoframe_extract_unreviewed_2779340329.mp4,Is the kid wearing a cap,"[0193,0197,0203,0208,0216,0225,0235,0238,0240,0244]",[0235],yes
Videoframe_extract_unreviewed_2779715525.mp4,Is the child on the bike facing towards right,"[0332,0335,0338,0342,0346,0350,0354,0358,0362,0366]",[0350],no
Videoframe_extract_unreviewed_2782307049.mp4,Is she standing on the cliff and not hanging by the rope,"[0000,0003,0006,0010,0014,0020,0022,0026,0030,0034]",[0022],no
Videoframe_extract_unreviewed_2782675613.mp4,Is she climbing the stairs,"[0285,0287,0293,0297,0299,0301,0303,0305,0307,0310]",[0293],no
Videoframe_extract_unreviewed_2792480681.mp4,Is the golf club near the camera than the ball,"[0242,0243,0244,0245,0246,0247,0248,0249,0250,0251]","[0244,0245]","yes,yes"
Videoframe_extract_unreviewed_2808115823.mp4,Is the woman on the left of the man,"[0050,0052,0060,0064,0074,0087,0094,0090,0104,0113]",[0087],no
Videoframe_extract_unreviewed_2811672042.mp4,Are there 2 pirate dressed woman in the frame,"[0025,0028,0031,0033,0039,0044,0050,0055,0060,0065]",[0028],no
Videoframe_extract_unreviewed_2821788355.mp4,Is the man standing upright,"[0081,0087,0091,0103,0111,0118,0127,0136,0147,0158]",[0111],no
Videoframe_extract_unreviewed_2825389728.mp4,Are there 2 boys in the frame,"[0000,0003,0006,0010,0014,0020,0022,0026,0030,0034]",[0026],yes
Videoframe_extract_unreviewed_2825594207.mp4,Are both of them doing handstands,"[0103,0105,0111,0119,0127,0138,0168,0176,0185,0191]",[0168],yes
Videoframe_extract_unreviewed_2830844169.mp4,Is the boys face above the camera,"[0282,0310,0320,0326,0375,0463,0475,0480,0490,0495]",[0375],no
Videoframe_extract_unreviewed_2837375339.mp4,Is the man looking at the wine glass,"[0219,0226,0234,0241,0245,0248,0254,0260,0262,0264]",[0245],YES
Videoframe_extract_unreviewed_2851079460.mp4,Is the girl standing,"[0520,0527,0549,0565,0577,0587,0601,0668,0675,0680]",[0587],NO
Videoframe_extract_unreviewed_2854886555.mp4,Is the boy holding the fruit,"[0000,0005,0011,0017,0048,0062,0082,0120,0134,0143]",[0082],NO
Videoframe_extract_unreviewed_2869614883.mp4,Is the girl in the pool,"[0365,0378,0384,0386,0391,0400,0405,0407,0413,0417]",[0384],NO
Videoframe_extract_unreviewed_2872500033.mp4,Are there 2 cats in the frame,"[0062,0069,0072,0082,0094,0178,0189,0203,0210,0217]",[0094],YES
Videoframe_extract_unreviewed_2875226866.mp4,Is the golf club on the right of the golf ball,"[0050,0051,0052,0053,0054,0055,0056,0057,0058,0059]",[0055],NO
Videoframe_extract_unreviewed_2876825076.mp4,Is the man looking towards the camera,"[0008,0010,0012,0015,0016,0018,0020,0021,0020,0024]",[0015],NO
Videoframe_extract_unreviewed_2888597276.mp4,Is there exactly 1 person in the scene,"[0223,0234,0245,0345,0426,0431,0440,0456,0470,0480]",[0426],YES
Videoframe_extract_unreviewed_2894443839.mp4,Is the babies right leg up,"[0064,0069,0075,0076,0078,0081,0083,0085,0087,0090]",[0075],YES
Videoframe_extract_unreviewed_2934685860.mp4,Is the baby standing on the grass,"[0000,0002,0004,0006,0008,0010,0012,0014,0016,0018]",[0000],YES
Videoframe_extract_unreviewed_2940373590.mp4,Is the woman on the right of the man,"[0062,0065,0075,0087,0096,0111,0127,0149,0164,0175]",[0111],YES
Videoframe_extract_unreviewed_2945751196.mp4,Is the guy has his hands up,"[0171,0179,0181,0189,0205,0225,0226,0227,0228,0230]",[0179],NO
Videoframe_extract_unreviewed_2955315309.mp4,Is the horse on the right of the woman,"[0028,0033,0035,0046,0047,0048,0049,0050,0051,0052]",[0035],YES
Videoframe_extract_unreviewed_2969688375.mp4,Is the boy hugging the woman,"[0046,0049,0060,0123,0125,0128,0131,0135,0140,0149]",[0125],YES
Videoframe_extract_unreviewed_3002011719.mp4,Are the 2 buffers touching,"[0099,0107,0124,0156,0173,0225,0236,0244,0250,0255]",[0236],NO
Videoframe_extract_unreviewed_3037583268.mp4,Is the man in water,"[0500,0508,0515,0523,0529,0534,0544,0558,0569,0576]",[0529],NO
Videoframe_extract_unreviewed_3049351381.mp4,Is the baby yawning,"[0540,0547,0581,0603,0607,0609,0610,0612,0614,0616]",[0603],NO
Videoframe_extract_unreviewed_3052870588.mp4,Are there 2 people in the scene,"[0134,0143,0156,0162,0172,0175,0178,0180,0185,0190]",[0172],YES
Videoframe_extract_unreviewed_3060478605.mp4,Is there a human in the scene,"[0144,0146,0150,0155,0160,0165,0170,0175,0180,0185]","[0155,0170]","YES,YES"
Videoframe_extract_unreviewed_3213187068.mp4,Is the kid sitting on the plastic sledge,"[0002,0004,0006,0021,0028,0030,0035,0040,0045,0050]",[0028],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5011.mp4,Is the right hand above the left one,"[0081,0084,0087,0089,0091,0093,0095,0097,0099,0101]",[0089],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5032.mp4,Is the book in the bag,"[0066,0070,0094,0102,0111,0113,0115,0117,0118,0120]",[0102],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5050.mp4,Is the orange on the table,"[0144,0146,0148,0150,0152,0154,0157,0162,0167,0170]",[0152],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5081.mp4,Is the yellow object between those 2 white objects,"[0191,0196,0200,0210,0215,0218,0220,0225,0230,0235]",[0215],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5126.mp4,Is the knife in the box,"[0039,0043,0052,0076,0088,0094,0100,0105,0110,0115]",[0088],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5164.mp4,Are there exactly 3glasses in the scene,"[0241,0243,0245,0253,0257,0260,0265,0270,0275,0280]","[0253,0257]","YES,YES"
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5228.mp4,Is the bottle pointing towards the camera,"[0003,0010,0035,0041,0044,0050,0056,0060,0065,0070]",[0041],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5299.mp4,Is the middle cup above or at the same level as the other two cups,"[0000,0005,0020,0023,0025,0026,0027,0028,0029,0030]",[0023],YES
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5336.mp4,Is the red glass in between the blue and the orange one,"[0309,0311,0314,0317,0322,0325,0327,0328,0329,0330]",[0325],YES
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5341.mp4,Is the ball closer to the top of the platform than the bottom,"[0051,0056,0064,0071,0072,0073,0074,0075,0077,0078]",[0072],YES
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5397.mp4,Is the book placed upon the glass cup,"[0072,0076,0082,0088,0097,0111,0119,0125,0129,0244]",[0111],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5477.mp4,Is the umbrella in the box,"[0014,0018,0028,0034,0041,0079,0083,0092,0100,0105]",[0079],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5519.mp4,Is the cylinder lying on the table,"[0034,0036,0040,0046,0050,0058,0060,0065,0070,0075]",[0058],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5546.mp4,Is the yolk in the glass container,"[0232,0235,0238,0239,0240,0241,0242,0243,0244,0245]",[0238],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5566.mp4,Is the apple on the table,"[0116,0136,0139,0144,0158,0177,0181,0186,0190,0195]",[0177],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5638.mp4,Is the pen pointing towards the golden colored bottle,"[0116,0125,0133,0143,0147,0150,0155,0160,0165,0170]",[0147],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5671.mp4,Is the ball near to the top of the platform than the box at the bottom,"[0072,0075,0079,0080,0081,0082,0083,0084,0085,0086]",[0079],YES
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5699.mp4,Is the person holding the apple,"[0170,0173,0178,0180,0182,0184,0186,0188,0190,0192]",[0180],YES
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5734.mp4,Is there a grey colored cloth on the table in the frame,"[0000,0002,0004,0006,0007,0008,0009,0010,0011,0012]",[0006],NO
/home/debarpanb1/Videoframe_extract/leaplab_acc/video_5802.mp4,Is there a blue pen in the frame,"[0044,0048,0055,0057,0082,0083,0084,0085,0086,0089]",[0083],YES
