video_path,question,frames,center_frames,gt_answer,primary_category
images/NExTVideo/1103/2831643292.mp4,Are there exactly 2 men in the scene?,"[0077, 0080, 0082, 0085, 0088, 0090, 0092, 0095, 0098, 0100]","[0088, 0090]",yes,Geometric
images/NExTVideo/1103/3441428429.mp4,Is the female dancer on the left side of the male dancer?,"[0474, 0480, 0484, 0499, 0504, 0509, 0514, 0519, 0523, 0527]","[0499, 0504]",no,Compositional
images/NExTVideo/1103/3650010049.mp4,Are there exactly 2 women on the boat?,"[0050, 0065, 0080, 0090, 0107, 0114, 0135, 0140, 0160, 0200]","[0107, 0114]",yes,Geometric
images/NExTVideo/1104/4760431362.mp4,Are there 2 dogs on the bed?,"[0040, 0042, 0048, 0053, 0058, 0059, 0066, 0073, 0078, 0087]","[0058, 0059]",[yes yes],Geometric
images/NExTVideo/1104/4839268164.mp4,Is the boy drinking from the yellow cup?,"[0268, 0270, 0273, 0278, 0283, 0284, 0286, 0290, 0294, 0299]","[0283, 0284]",[no no],Semantic
images/NExTVideo/1104/5508995205.mp4,Are exactly 2 adults holding babies in the pool?,"[0500, 0520, 0540, 0580, 0600, 0628, 0650, 0665, 0680, 0700]","[0600, 0628]",[yes yes],Compositional
images/NExTVideo/1105/2623764605.mp4,Are there exactly 2 cats on the floor mat?,"[0145, 0160, 0185, 0207, 0208, 0320, 0330, 0340, 0350, 0360]","[0207, 0208]",[yes yes],Geometric
images/NExTVideo/1105/4375052499.mp4,Is the baby girl in middle of the boys?,"[0006, 0020, 0030, 0040, 0053, 0058, 0080, 0100, 0112, 0115]","[0053, 0058]",no,Compositional
images/NExTVideo/1105/6253141636.mp4,Are there 2 toddlers on the bed?,"[0386, 0400, 0420, 0450, 0475, 0500, 0525, 0550, 0575, 0624]",[0475],[yes yes],Geometric
images/NExTVideo/1105/6709738709.mp4,Is the mouth of the cat open?,"[1620, 1630, 1635, 1638, 1642, 1644, 1650, 1655, 1660, 1665]","[1642, 1644]",yes,Semantic
images/NExTVideo/1106/2797596111.mp4,Are there exactly 4 guitarists on the stage?,"[0608, 0615, 0623, 0628, 0637, 0666, 0689, 0700, 0724, 0792]",[0637],[yes yes],Compositional
images/NExTVideo/1106/3459862895.mp4,Is the baby boy sitting on the toy train?,"[1492, 1500, 1510, 1540, 1570, 1572, 1580, 1600, 1630, 1647]","[1570, 1572]",[yes yes],Semantic
images/NExTVideo/1106/4229009987.mp4,Is the toddler picking up the toy baby?,"[0100, 0120, 0130, 0142, 0145, 0150, 0155, 0160, 0170, 0200]","[0142, 0145]",yes,Semantic
images/NExTVideo/1106/6016405951.mp4,Is the black dog on the sofa?,"[0067, 0080, 0085, 0100, 0123, 0150, 0160, 0170, 0190, 0193]",[0123],yes,Compositional
images/NExTVideo/1106/7828681900.mp4,Are there exactly 3 birds in the scene?,"[0405, 0410, 0415, 0420, 0431, 0440, 0445, 0450, 0455, 0473]",[0431],yes,Geometric
images/NExTVideo/0051/2400074985.mp4,Is the woman raising her hands up?,"[760, 770, 780, 790, 800, 810, 815, 820, 830, 840]",[815],no,Geometric
images/NExTVideo/0051/3702633786.mp4,Is the dog standing inside the bathtub?,"[1130, 1140, 1150, 1160, 1170, 1190, 1245, 1250, 1255, 1260]","[1190, 1245]",no,Geometric
images/NExTVideo/0051/6783561967.mp4,Are there two cats in the room?,"[200, 210, 220, 225, 228, 232, 230, 235, 240, 290]",[225],no,Geometric
images/NExTVideo/0051/8697708107.mp4,Is the cat on top of the laptop?,"[0350, 0351, 0352, 0354, 0355, 0360, 0365, 0370, 0380, 0390]",[0360],no,Geometric
images/NExTVideo/0051/11585666326.mp4,Are there two people in the image?,"[0940, 0945, 0950, 0958, 0960, 0970, 0976, 0980, 1000, 1005]",[0970],yes,Geometric
images/NExTVideo/0052/5455648195.mp4,Is the baby touching the telephone?,"[0110, 0150, 0160, 0170, 0175, 0190, 0200, 0220, 0230, 0240]",[175],no,Semantic
images/NExTVideo/0052/10041199716.mp4,Is the girl feeding the baby?,"[1700, 1720, 1730, 1740, 1760, 1770, 1780, 1840, 1845, 1850]",[1780],no,Semantic
images/NExTVideo/0053/3701610241.mp4,Has the plane landed?,"[0100, 0110, 0120, 0122, 0124, 0126, 0128, 0130, 0131, 0132]",[126],no,Semantic
images/NExTVideo/0053/5599511471.mp4,Is the player holding the ball in his hands?,"[0084, 0085, 0086, 0087, 0088, 0091, 0092, 0093, 0094, 0095]","[92, 93]",no,Semantic
images/NExTVideo/0054/2971876369.mp4,Are there three grandmas in the image?,"[0225, 0240, 0250, 0276, 0277, 0290, 0300, 0305, 0307, 0310]",[0277],yes,Compositional
images/NExTVideo/0054/11276956514.mp4,Are both hands of the priest on the head of the girl?,"[0250, 0255, 0260, 0270, 0275, 0290, 0295, 0300, 0310, 0320]",[0295],no,Compositional
images/NExTVideo/0055/3446247254.mp4,Has the plane landed?,"[0110, 0120, 0130, 0150, 0170, 0172, 0180, 0185, 0190, 0195]",[0172],no,Semantic
images/NExTVideo/0055/8727084602.mp4,Is the cat on laptop?,"[1700, 1800, 1850, 1920, 1940, 1945, 1950, 1951, 1955, 1960]","[1940, 1945]",yes,Geometric
images/NExTVideo/0056/3336398510.mp4,Has the person with parachute landed?,"[0130, 0133, 0135, 0137, 0138, 0140, 0143, 0145, 0150, 0151]",[0137],no,Semantic
images/NExTVideo/0057/3381752581.mp4,Is the cat standing on two legs?,"[0750, 0780, 0880, 0900, 0933, 0935, 0938, 0940, 0945, 0950]",[0935],no,Semantic
images/NExTVideo/0057/7001078933.mp4,Are the players pushing each other?,"[325, 350, 360, 365, 367, 368, 370, 373, 375, 380]",[370],no,Semantic
images/NExTVideo/0059/2400084970.mp4,Are there two people visible?,"[470, 480, 500, 510, 520, 540, 550, 565, 570, 575]",[550],yes,Geometric
images/NExTVideo/0060/5856167780.mp4,Is the kid jumping in the air?,"[510, 520, 525, 528, 530, 532, 533, 535, 537, 540]","[532, 533]",no,Semantic
images/NExTVideo/0061/3530395394.mp4,Is there a pig in the picture?,"[830, 835, 840, 850, 855, 880, 890, 900, 905, 910]","[855, 880]",[yes yes],Semantic
images/NExTVideo/0000/5650793185.mp4,Is the man touching the swing?,"[0087, 0080, 0034, 0038, 0040, 0054, 0077, 0043, 0048, 0107]",[0040],yes,Semantic
images/NExTVideo/0002/10192494165.mp4,Is the book lying on the girl's lap?,"[0063, 0075, 0086, 0094, 0101, 0110, 0142, 0159, 0175, 0188]",[0101],yes,Geometric
images/NExTVideo/0003/5251212639.mp4,Is the leg of the dog touching the table?,"[0000, 0171, 0179, 0197, 0225, 0221, 0210, 0219, 0681, 0709]",[0225],no,Geometric
images/NExTVideo/0004/9525696229.mp4,Is the child wearing bright blue shirt standing away from the water?,"[0000, 0074, 0120, 0138, 0159, 0231, 0170, 0188, 0206, 0221]",[0159],yes,Geometric
images/NExTVideo/0004/11566980553.mp4,Are there two people in the image?,"[0538, 0159, 0165, 0170, 0180, 0186, 0651, 0864, 0892, 0962]",[0180],yes,Geometric
images/NExTVideo/0005/3250020598.mp4,Is the baby lying on the floor?,"[0661, 0643, 0632, 0512, 0497, 0479, 0457, 0448, 0423, 0002]",[0497],yes,Semantic
images/NExTVideo/0006/2478396375.mp4,Are there two babies in the scene?,"[0006, 0038, 0175, 0080, 0047, 0136, 0698, 0751, 0602, 0770]",[0047],yes,Geometric
images/NExTVideo/0008/2744507539.mp4,Is the man in red standing on ground?,"[0015, 0038, 0053, 0076, 0089, 0116, 0125, 0133, 0153, 0287]",[0089],no,Semantic
images/NExTVideo/0008/6320611157.mp4,Is the toddler sitting?,"[0000, 0972, 1004, 1024, 1032, 1187, 1201, 1291, 1654, 1757]",[1032],no,Semantic
images/NExTVideo/0015/4609514164.mp4,Are both the lion sitting?,"[0031, 0053, 0142, 0167, 0279, 0285, 0300, 0326, 0343, 0358]",[0279],no,Semantic
images/NExTVideo/0020/2454242177.mp4,Is the baby standing?,"[0001, 0073, 0158, 0189, 0267, 0423, 0432, 0512, 0548, 0717]",[0267],no,Semantic
images/NExTVideo/0020/9209893989.mp4,Is there a rock in boy hand?,"[0042, 0002, 0092, 0062, 0097, 0814, 1042, 0439, 0572, 0484]",[0097],no,Geometric
images/NExTVideo/0028/3085751774.mp4,Is the dog held by one of the women?,"[0172, 0085, 0442, 0461, 0531, 0565, 0594, 0619, 0652, 0716]",[0531],no,Semantic
images/NExTVideo/0031/4006742735.mp4,Is the icecream nearer to girl than boy?,"[0000, 0010, 0013, 0017, 0020, 0023, 0029, 0035, 0430, 0654]",[0020],no,Geometric
images/NExTVideo/0031/4805511103.mp4,Are the boy's feet touching the ground?,"[0000, 0081, 0083, 0085, 0227, 0874, 0878, 0884, 0889, 0896]",[0227],no,Semantic
images/NExTVideo/0031/5516830700.mp4,Is the baby standing?,"[0000, 0076, 0123, 0298, 0336, 0356, 0802, 0819, 0849, 0904]",[0336],no,Semantic
images/NExTVideo/0033/2834146886.mp4,Is the dog inside the dogbed?,"[0680, 0691, 0708, 0717, 0725, 0741, 0752, 0769, 0859, 0871]",[0725],no,Geometric
images/NExTVideo/0033/3105754589.mp4,Is the dog sitting on bed?,"[0223, 0206, 0168, 0483, 0982, 1070, 1166, 1215, 1287, 1404]",[0982],no,Semantic
images/NExTVideo/0034/5296671076.mp4,Is the boy sitting?,"[0000, 0436, 0470, 0407, 0409, 0417, 1675, 1691, 1708, 1761]",[0409],no,Semantic
images/NExTVideo/0039/5351925965.mp4,Is the bird sitting on man's hand?,"[0022, 0094, 0110, 0106, 0103, 0865, 0890, 0895, 0917, 0947]",[0103],no,Semantic
